epoch,accuracy,loss,val_accuracy,val_loss
0,0.21636085212230682,2.019118547439575,0.4590163826942444,1.722213625907898
1,0.4097859263420105,1.74869704246521,0.534426212310791,1.4562973976135254
2,0.5007645487785339,1.5455543994903564,0.645901620388031,1.2562758922576904
3,0.6253822445869446,1.356963038444519,0.757377028465271,1.087505578994751
4,0.6888379454612732,1.209513545036316,0.8557376861572266,0.93939208984375
5,0.7637614607810974,1.0774283409118652,0.8852459192276001,0.8213817477226257
6,0.824923574924469,0.9393775463104248,0.9147540926933289,0.7199780344963074
7,0.8394495248794556,0.8588168025016785,0.9213114976882935,0.6356083750724792
8,0.8600917458534241,0.767723798751831,0.9409835934638977,0.5622639656066895
9,0.8837920427322388,0.6849954724311829,0.9442622661590576,0.5035054683685303
10,0.8830274939537048,0.6496662497520447,0.9475409984588623,0.453469455242157
11,0.8899082541465759,0.5995886921882629,0.9606557488441467,0.4126177728176117
12,0.9166666865348816,0.5335893630981445,0.9573770761489868,0.37842997908592224
13,0.932721734046936,0.4866163730621338,0.9606557488441467,0.3481694757938385
14,0.9296635985374451,0.4538422226905823,0.9606557488441467,0.32514381408691406
15,0.9311926364898682,0.4337654709815979,0.9606557488441467,0.30491903424263
16,0.9350152611732483,0.39317312836647034,0.9606557488441467,0.28410568833351135
17,0.9441896080970764,0.37811607122421265,0.9606557488441467,0.2707177698612213
18,0.9396024346351624,0.37249958515167236,0.9606557488441467,0.2582032382488251
19,0.9464831948280334,0.35072341561317444,0.9606557488441467,0.2447584569454193
20,0.9564220309257507,0.31206366419792175,0.9639344215393066,0.23553238809108734
21,0.9541284441947937,0.316072016954422,0.9672130942344666,0.22700676321983337
22,0.9571865200996399,0.31265759468078613,0.9672130942344666,0.21975991129875183
23,0.966360867023468,0.27451449632644653,0.9704918265342712,0.2132161408662796
